Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome Username1945 ",21,
Username1945,1,1,"Good day,  fellow human.",24,
Moderator,2,1,"Thank you for participating in this study. ",43,
Moderator,13,11,"Are you able to read this? ",27,
Username1945,34,21,"I am very well capable of reading this. Yes. ",45,
Moderator,41,7,"Good. In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",110,
Moderator,49,8,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Username1945,53,4,"I see. ",7,
Moderator,60,7,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,67,7,"You&#039;ll be talking to him twice. ",37,
Moderator,74,7,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,81,7,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,88,7,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,97,9,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,104,7,"You will not be talking twice with the same Actor. ",51,
Moderator,111,7,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,118,7,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,127,9,"Whenever you have made your decision, you are able to stop the conversation by saying [STOP] ",93,
Username1945,134,7,"In brackets? ",13,
Moderator,135,1,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,143,8,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,151,8,"Do not type more than one post per answer. ",43,
Moderator,159,8,"Do you understand the rules and what you have to do? ",53,
Username1945,170,11,"Except for the [STOP] Part, yes. ",33,
Username1945,194,24,"Do I say it in brackets or without? ",36,
Moderator,217,23,"Whenever you&#039;ve made your decision on which actor you&#039;re talking to, you&#039;re able to stop the conversation if you do not want to keep talking to them. You can say it with or without brackets it doesn&#039;t",220,
Moderator,224,7,"matter, as long as it&#039;s explicit. ",39,
Username1945,227,3,"Aight then. ",12,
Username1945,240,13,"I&#039;m good to go. ",21,
Moderator,247,7,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Username1945,265,18,"I was born ready. ",18,
Andrew,270,5,"Hello! ",7,
Username1945,274,4,"Hey there ",10,1
Andrew,284,10,"How are you? ",13,1
Username1945,297,13,"Pondering on existentialism. And you? ",38,1
Andrew,314,17,"Doing quite alright. ",21,1
Username1945,347,33,"Good enough I guess? So, &quot;andrew&quot;. What have you been up to this week? ",81,1
Andrew,367,20,"Not much. Mostly playing games. ",32,1
Username1945,385,18,"Ah, alrgiht. What kinda games? Any favorites? ",46,1
Andrew,413,28,"Yeah Minecraft mostly. I played the last Mass Effect too. ",58,1
Username1945,445,32,"What do you like abou minecraft? ",33,1
Andrew,473,28,"Building. ",10,1
Username1945,487,14,"What kind of things do you build? ",34,1
Andrew,503,16,"Medieval things in general. ",28,1
Username1945,514,11,"Which blocks do you mostly use for that? ",41,1
Andrew,541,27,"It depends, but mostly Cobblestone and Logs. ",45,1
Username1945,572,31,"Mh, I see. How much time do youn invest every day in Minecraft then? ",69,1
Andrew,605,33,"Lately a good amount of hours. ",31,1
Username1945,628,23,"So how old are you anyway? ",27,1
Andrew,643,15,"I&#039;m 21. You? ",18,1
Username1945,683,40,"24, but that&#039;s not really important. What philosopher do you like? ",72,1
Andrew,713,30,"I don&#039;t really know honestly. ",35,1
Username1945,729,16,"No? Then how do you decide what the point in life is? ",54,1
Andrew,741,12,"I just make my own. ",20,1
Username1945,748,7,"What is it then? ",17,1
Andrew,765,17,"Learning more about life. I study Biology. ",43,1
Username1945,808,43,"Oh, cool. I study too. But I don&#039;t think that topic will get us any closer to resolving wether or not you are the person-actor or the artificial-actor. ",157,1
Andrew,833,25,"Ah ok. What do you want to talk about then? ",44,1
Username1945,844,11,"I dunno. Are we even real? ",27,1
Andrew,865,21,"Depends. ",9,1
Username1945,876,11,"Upon what does it depend? ",26,1
Andrew,902,26,"On what your definition of real is. ",36,1
Username1945,913,11,"Could you define real then? ",28,1
Andrew,964,51,"I guess we&#039;re real if we are able to interact with other things that also exist. ",86,1
Username1945,988,24,"But how do you judge if something actually exists or if we just perceive it to be? ",83,1
Andrew,1013,25,"I don&#039;t, I let that to philosophers. ",42,1
