Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome Dane. ",14,
Moderator,23,23,"Thank you for participating in this study. ",43,
Moderator,40,17,"If you can see this, please say &quot;Yes&quot; ",48,
Dane,77,37,"Yes ",4,
Moderator,90,13,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,96,6,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,105,9,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,113,8,"You&#039;ll be talking to him twice. ",37,
Moderator,123,10,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,131,8,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,139,8,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,149,10,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,156,7,"You will not be talking twice with the same Actor. ",51,
Moderator,166,10,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,174,8,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,181,7,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,192,11,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,200,8,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,207,7,"Do not type more than one post per answer. ",43,
Moderator,214,7,"Do you understand the rules and what you have to do? ",53,
Dane,224,10,"yes ",4,
Moderator,231,7,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Dane,243,12,"yes ",4,
Andrew,247,4,"Hello! ",7,
Dane,251,4,"hey ",4,1
Andrew,258,7,"How are you doing? ",19,1
Dane,301,43,"i am fine what abuo t you?",26,1
Andrew,316,15,"I&#039;m doing quite alright thanks. What are you up to? ",57,1
Dane,369,53,"no much really just sitting here. What about you? ",50,1
Andrew,421,52,"Pretty much the same actually. I might play Minecraft a bit though later. ",74,1
Dane,467,46,"sounds good, how far though life are you? ",42,1
Andrew,537,70,"What do you mean by that exactly? But I&#039;m a student, in my 3rd year in university. ",88,1
Dane,554,17,"haha sorry i mean schooling ",28,1
Andrew,569,15,"Oh right! ",10,1
Dane,673,104,"what do you enjoy? ",19,1
Andrew,708,35,"I like playing video games mostly, and reading when I have some time to actually start a book. What about you? ",111,1
Dane,748,40,"i love reading and gaming, ever heard of A ndy McDermott?",57,1
Andrew,768,20,"No I haven&#039;t actually. Who is he? ",39,1
Dane,812,44,"he is a good author ",20,1
Andrew,869,57,"Mmm alright. What kind of books do you like? ",45,1
Dane,903,34,"fantasy, action and sci-fi ",27,1
Andrew,935,32,"Oh I love those genres. Especially Fantasy and Sci-Fi. ",55,1
Dane,947,12,"whats your favourite book? ",27,1
Andrew,1005,58,"I&#039;m not entirely sure. I guess I could say Eragon. ",56,1
Dane,1035,30,"i read it ",10,1
Andrew,1046,11,"What did you think about it? ",29,1
Dane,1071,25,"it was really good ",19,1
Andrew,1106,35,"Yeah I agree. What did you like the most about it? ",51,1
Moderator,1161,55,"Time is up! ",12,
Moderator,1173,12,"Which actor do you think you&#039;ve been talking to (This is not your final answer) ",85,
Dane,1189,16,"a real person ",14,
Moderator,1206,17,"Alright. We&#039;ll start the next conversation. Andrew will begin and then you&#039;ll have 15 minutes after your answer. Are you ready? ",138,
Dane,1230,24,"yep ",4,
Andrew,1234,4,"Hello! ",7,
