Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome Soul. ",14,
Moderator,13,13,"Thank you for participating in this study. ",43,
Moderator,32,19,"If you can see this, please say Yes. ",37,
Soul,59,27,"yes ",4,
Soul,76,17,"Yes ",4,
Moderator,76,0,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,87,11,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,110,23,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,124,14,"You&#039;ll be talking to him twice. ",37,
Moderator,133,9,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,139,6,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,145,6,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,151,6,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,159,8,"You will not be talking twice with the same Actor. ",51,
Moderator,169,10,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,175,6,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,183,8,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,189,6,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,195,6,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,201,6,"Do not type more than one post per answer. ",43,
Moderator,207,6,"Do you understand the rules and what you have to do? ",53,
Soul,212,5,"Yes ",4,
Moderator,217,5,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Soul,223,6,"Yes ",4,
Andrew,234,11,"Hello! ",7,
Soul,241,7,"Hey there ",10,1
Andrew,248,7,"How are you doing? ",19,1
Soul,257,9,"I&#039;m doing ok ",18,1
Andrew,273,16,"Cool. What are you up to? ",26,1
Soul,296,23,"Not much really, just heard about another attack in Paris ",58,1
Andrew,332,36,"Another one? Oh damn. ",22,1
Soul,360,28,"Yeah... what about you? how are you and what are you doing? ",60,1
Andrew,413,53,"I&#039;m playing a bit of Minecraft, trying to figure out what I want to do. I&#039;m alright though. ",102,1
Soul,490,77,"I only really play with friends on it so we tend to just do stuff together from mining to building ",99,1
Andrew,543,53,"Do you play with them on a private server or on a public one? And what do you like to build? ",93,1
Soul,603,60,"We play on a private one, what do you like to build? ",53,1
Andrew,703,100,"If you&#039;re asking me the question, I like to build medieval buildings. I meant you, what you like to build with your friends when you do. ",142,1
