Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Hello Azure! ",13,
Moderator,10,10,"Thank you for participating in this study. ",43,
Moderator,44,34,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Azure,51,7,"Okidoki ",8,
Moderator,61,10,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,67,6,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,74,7,"You&#039;ll be talking to him twice. ",37,
Moderator,81,7,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,88,7,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,96,8,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Azure,101,5,"Sounds cool ",12,
Moderator,103,2,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,109,6,"You will not be talking twice with the same Actor. ",51,
Moderator,115,6,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,122,7,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,129,7,"Whenever you have made your decision, you are able to stop the conversation by saying [STOP] ",93,
Moderator,135,6,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,142,7,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,149,7,"Do not type more than one post per answer. ",43,
Moderator,159,10,"Do you understand the rules and what you have to do? ",53,
Azure,167,8,"Sure do. ",9,
Moderator,174,7,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Azure,190,16,"Let&#039;s do it ",17,
Andrew,198,8,"Hello! ",7,
Azure,231,33,"hey there ",10,1
Andrew,237,6,"How are you doing? ",19,1
Azure,251,14,"Eh, can&#039;t complain. Wouldn&#039;t do me any good to anyways, lol ",70,1
Andrew,289,38,"Well, sometimes it feels good to rant a little bit! What are you up to today? ",78,1
Azure,336,47,"Doing some art for some friends. It&#039;s a surprise for them ",63,1
Andrew,356,20,"That&#039;s very nice! Is it a special occasion? ",49,1
Azure,390,34,"Nah, just some random gift art. I really like their fursonas and wanted to show it.  ",85,1
Andrew,420,30,"Oh I see! I take it you&#039;re a furry too? ",45,1
Azure,452,32,"Mhm. Sure am. Since 2010, at least. Well, that&#039;s when I first joined FA, lol ",82,1
Andrew,516,64,"Do you go to the conventions and stuff? ",40,1
Azure,537,21,"Went to my first one this year, FWA. Do you know what that one is? ",67,1
Andrew,583,46,"I&#039;m not actually a furry myself, I only have some very basic knowledge of all that. ",89,1
Azure,626,43,"Ah, well it&#039;s a con in Atlanta, Georgia.  It&#039;s really awesome ",72,1
Andrew,663,37,"Is it something public? Or a private event where only furries can come? ",72,1
Azure,712,49,"Oh its public. It&#039;s held at the Marriot there. It&#039;s from Thursday to Sunday, and it was a blast.  ",108,1
Andrew,752,40,"Nice! I&#039;ve never actually been to any convention. I&#039;ve been considering going to Minecon, but that&#039;s about it. ",126,1
Azure,783,31,"You should. If nothing else, get some friends and just go and hang out. ",72,1
Andrew,830,47,"They tend to be in the US though. Are you American? ",52,1
Azure,862,32,"Sure am. Can you guess which state? I&#039;ll give you a hint: Think Tar Heels  ",80,1
Andrew,939,77,"Mmm, Isn&#039;t that the name of a team of something? ",54,1
Azure,963,24,"It is. Carolina Tarheels ",25,1
Andrew,993,30,"Right. I&#039;m not a big sports person. ",41,1
Azure,1023,30,"Me neither honestly. lol. But my family is, so I know the names of teams at least ",82,1
Andrew,1081,58,"Can you guess where I live if I tell you one of our teams is the London Knights? ",81,1
Azure,1119,38,"Hmm, England? lol ",18,1
Andrew,1128,9,"Nope. Canada! ",14,1
Moderator,1137,9,"Time is up! ",12,
Moderator,1150,13,"Which actor do you think you&#039;ve been talking to? ",54,
Azure,1201,51,"The person ",11,
Moderator,1221,20,"Alright, we&#039;ll begin the next conversation. Andrew will start, then you&#039;ll have 15 minutes again after your answer. Are you ready? ",141,
Azure,1228,7,"Ready ",6,
Andrew,1237,9,"Hello! ",7,
Azure,1246,9,"Howdy bud ",10,2
Andrew,1261,15,"How are you doing? ",19,2
Azure,1315,54,"Eeehhh, alright all in all. Just getting ready to take photos for my roommate ",78,2
Andrew,1330,15,"What kind of photos? ",21,2
Azure,1386,56,"Photos of him in his fursuit. We have some old buildings behind our house that work well. ",90,2
Andrew,1417,31,"Oh cool! So you both are furries? ",34,2
Azure,1449,32,"Yups. So is our third roommate too. But he&#039;s at his boyfriend&#039;s in Raleigh ",85,2
Andrew,1476,27,"Sounds like some fun times. ",28,2
Azure,1504,28,"It is. They&#039;re awesome friends ",36,2
Andrew,1535,31,"Since when do you all know each other? ",39,2
Azure,1580,45,"Vito and Jo have known each other for a couple years now. I&#039;ve only known them since last September ",105,2
Andrew,1605,25,"Being the new guy is not always easy. ",38,2
Azure,1657,52,"Definitely not. And I&#039;m already socially awkward, hehe. I get along with them, but still awkward with their friends. ",122,2
Andrew,1681,24,"Are their friends furries too? ",31,2
Azure,1709,28,"The one&#039;s I&#039;ve hung out with, yeah ",45,2
Andrew,1736,27,"Furries everywhere! hehe. ",26,2
Azure,1755,19,"Best place to have them, hehehe ",32,2
Andrew,1790,35,"How old are you? ",17,2
Azure,1843,53,"24 years old. In human at least, hehehe. think that makes me 168 in dog years ",78,2
Andrew,1866,23,"I&#039;m 21. ",13,2
