Author,TimeStamp,Delay,Message,Characters,Conversation
Mushroom,0,0,"Hello ",6,
Moderator,27,27,"Hello Mushroom ",15,
Moderator,35,8,"Thank you for participating in this study. ",43,
Moderator,45,10,"Are you able to read this? ",27,
Mushroom,50,5,"You&#039;re welcome. ",21,
Mushroom,51,1,"I am. ",6,
Moderator,60,9,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Mushroom,66,6,"Odds are I might eventually disconect because my connection is horrible. ",73,
Moderator,67,1,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,72,5,"Alright ",8,
Moderator,79,7,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,86,7,"You&#039;ll be talking to him twice. ",37,
Moderator,92,6,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,107,15,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,114,7,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,122,8,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,128,6,"You will not be talking twice with the same Actor. ",51,
Moderator,135,7,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,143,8,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,149,6,"Whenever you have made your decision, you are able to stop the conversation by saying [STOP] ",93,
Moderator,157,8,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,164,7,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,171,7,"Do not type more than one post per answer. ",43,
Moderator,178,7,"Do you understand the rules and what you have to do? ",53,
Mushroom,191,13,"I think so! ",12,
Moderator,199,8,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Mushroom,215,16,"Sure, lets do dis. ",19,
Andrew,221,6,"Hello! ",7,
Mushroom,224,3,"Hello. ",7,1
Andrew,229,5,"How are you doing? ",19,1
Mushroom,233,4,"I am fine, what of you? ",24,1
Andrew,245,12,"I&#039;m doing quite alright! What are you up to? ",50,1
Mushroom,257,12,"I&#039;m cooking. ",18,1
Andrew,273,16,"Oh cool, what are you making? ",30,1
Mushroom,300,27,"Can you guess? ",15,1
Andrew,327,27,"Well, it&#039;s not really an easy one; ",40,1
Mushroom,392,65,"Let us leave it to chance, what comes in mind? ",47,1
Andrew,424,32,"I&#039;m not really sure to be honest. ",39,1
Mushroom,526,102,"I will make things easier for you, all of my ingredients are raw and will remain raw by the end of my cooking. ",111,1
Andrew,580,54,"A salad? ",9,1
Mushroom,617,37,"How about we change the something to something more simple now, what are you doing? ",84,1
Andrew,646,29,"Well, I&#039;m just playing a game actually. ",45,1
Mushroom,715,69,"What are you doing? ",20,1
Andrew,734,19,"I&#039;m just playing a game. ",30,1
Mushroom,816,82,"Yes are correct, it is infact a salad. What game are you playing? ",66,1
Andrew,843,27,"I&#039;m playing Minecraft. Have you heard about it? ",53,1
Mushroom,950,107,"I have heard of it, do you like it? ",36,1
Andrew,960,10,"How do you mean? ",17,1
Mushroom,979,19,"Do you like the game Minecraft? ",32,1
Andrew,998,19,"Well yeah, it&#039;s probably one of my favorite games. ",56,1
Mushroom,1011,13,"Why do you like the game Minecraft? ",36,1
Andrew,1046,35,"It lets me get creative. I love building in it. It&#039;s like playing with LEGO, but better. ",94,1
Mushroom,1063,17,"Do you like LEGO? ",18,1
Andrew,1073,10,"I used to yes. ",15,1
Moderator,1135,62,"Time is up! ",12,
Mushroom,1149,14,"Well, RIP! ",11,
Moderator,1151,2,"Which actor do you think you&#039;ve been talking to? ",54,
Mushroom,1219,68,"I feel like most of the time it was the Player, but a few times the Artificial Intelligence could have intercepted, unless I&#039;m so vague that it actually needed specified clarification from the Player.",205,
Moderator,1260,41,"You&#039;ve only been talking to one of the two actors. Which one do you think it was so far? (You&#039;ll be able to change your answer after the next conversation) ",166,
Mushroom,1292,32,"The Player. ",12,
Moderator,1319,27,"Do you mean the human? Alright. ",32,
Moderator,1336,17,"We&#039;ll begin the next conversation. Andrew will start, then you&#039;ll have 15 minutes again after your answer. Are you ready? ",132,
Mushroom,1352,16,"I am ready. ",12,
Andrew,1359,7,"Hello! ",7,
Mushroom,1363,4,"Hello. ",7,2
Andrew,1371,8,"How are you doing? ",19,2
Mushroom,1401,30,"Why are you asking? ",20,2
Andrew,1420,19,"Well it&#039;s usually the polite way to address someone. ",58,2
