Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome Kyo. ",13,
Moderator,26,26,"Thank you for participating in this study. ",43,
Moderator,59,33,"If you can see this, please say yes now. ",41,
Kyo,65,6,"Yes ",4,
Moderator,73,8,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,85,12,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,93,8,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,103,10,"You&#039;ll be talking to him twice. ",37,
Moderator,112,9,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,122,10,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,130,8,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,139,9,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,146,7,"You will not be talking twice with the same Actor. ",51,
Moderator,158,12,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,165,7,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,173,8,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,181,8,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,188,7,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,196,8,"Do not type more than one post at a time. ",42,
Moderator,206,10,"Do you understand the rules and what you have to do? ",53,
Kyo,212,6,"Yes ",4,
Moderator,227,15,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Kyo,242,15,"Yes ",4,
Andrew,247,5,"Hello! ",7,
Kyo,317,70,"Hi! How are you? ",17,1
Andrew,336,19,"I&#039;m doing alright! ",24,1
Kyo,459,123,"Do you mind telling me a bit about yourself, Andrew? ",53,1
Andrew,475,16,"Sure, what do you want to know? ",32,1
Kyo,514,39,"What are your hobbies? ",23,1
Andrew,536,22,"I love video games. You? ",25,1
Kyo,562,26,"Video games are my favorite. ",29,1
Andrew,570,8,"Which ones? ",12,1
Kyo,669,99,"I really like Mario and Zelda, I&#039;m best at RPGs. How about you? ",69,1
Andrew,701,32,"I like RPGs too, like Mass Effect. ",35,1
Kyo,794,93,"Mass effect is a series, right? Do you have a favorite from it? ",64,1
Andrew,813,19,"Yes, the third one. ",20,1
Kyo,847,34,"What system do you play it on? ",31,1
Andrew,870,23,"Most of it I&#039;ve played on PC. ",35,1
Kyo,936,66,"Do you have any pets? ",22,1
Andrew,967,31,"I have two dogs yes. ",21,1
Kyo,986,19,"I love dogs, what are their names? ",35,1
Andrew,1022,36,"Rinoa and Lucky. ",17,1
Kyo,1055,33,"Oh, like Rinoa from Final Fantasy VIII? ",40,1
Andrew,1069,14,"Exactly yes! ",13,1
Kyo,1129,60,"I also love the Final Fantasy series. Is Rinoa your favorite protagonist from it? ",82,1
Andrew,1150,21,"I&#039;m not sure, but one of my favorites yes. ",48,1
Moderator,1228,78,"Time is up! ",12,
Moderator,1239,11,"Which actor do you think you&#039;ve been talking to (This is not your final answer) ",85,
Kyo,1272,33,"So far, I believe I have been t alking to the AI",48,
Moderator,1285,13,"Alright. We&#039;ll start the next conversation. Andrew will begin, then you&#039;ll have 15 minutes again after your answer. Are you ready? ",141,
Kyo,1294,9,"Yes ",4,
Andrew,1301,7,"Hello! ",7,
Kyo,1399,98,"Hi Andrew, how was your day? ",29,2
Andrew,1417,18,"It was quite alright. How was yours? ",37,2
Kyo,1466,49,"My day has been going alright as well. My cats have been wreaking havoc in the house, but it&#039;s been perfect otherwise. ",124,2
Andrew,1487,21,"That&#039;s quite fun to watch sometimes though. ",49,2
Kyo,1550,63,"This is very true, it&#039;s just hard to clean up the mess they leave, b ut it&#039;s worth it. ",97,2
Andrew,1572,22,"How many do you have? ",22,2
Kyo,1627,55,"I have two cats, one of them is an orange tabby boy  named Milo and the other is a black and white spotted girl named Ellie.",124,2
Andrew,1668,41,"Oh that&#039;s cool. I have two dogs. Rinoa and Lucky. They are siblings. ",74,2
Kyo,1684,16,"How long have you had them for? ",32,2
Andrew,1712,28,"7 years I believe. I&#039;m not too sure actually. ",51,2
Kyo,1831,119,"I see, I&#039;ve had my cats since last December, I adopted them both from the shelter. They come from different litters, but they act like brother and sister. ",160,2
Andrew,1868,37,"That&#039;s nice, how old are they? ",36,2
Kyo,1947,79,"I believe they are both around seven months now? They grow so fast. ",68,2
Andrew,1982,35,"Oh yeah they are really young then. They must be adorable. ",59,2
