Author,TimeStamp,Delay,Message,Characters,Conversation
meep,0,0,"hey there ",10,
meep,14,14,"Hello? ",7,
Moderator,16,2,"Hello meep. ",12,
Moderator,30,14,"Thank you for participating in this study. ",43,
meep,46,16,"No problem, how are you? ",25,
Moderator,61,15,"I am good thanks. In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",122,
Moderator,70,9,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,83,13,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,92,9,"You&#039;ll be talking to him twice. ",37,
meep,92,0,"okay sounds good ",17,
Moderator,101,9,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,109,8,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,117,8,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,124,7,"The order in which you&#039;ll be talking to each Actor is random. ",67,
meep,125,1,"sounds good ",12,
Moderator,132,7,"You will not be talking twice with the same Actor. ",51,
Moderator,141,9,"oth the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",119,
Moderator,149,8,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,156,7,"Whenever you have made your decision, you are able to stop the conversation by saying [STOP] ",93,
Moderator,164,8,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,172,8,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,179,7,"Do not type more than one post per answer. ",43,
meep,187,8,"okay sounds good ",17,
Moderator,199,12,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
meep,229,30,"hello? ",7,
Moderator,251,22,"Yes, are you ready? ",20,
meep,362,111,"testing ",8,
Moderator,387,25,"Can you see? ",13,
meep,464,77,"I can see now ",14,
Moderator,486,22,"Good, I&#039;ll repost the rules and instructions ",50,
Moderator,505,19,"Can you still read that? ",25,
meep,593,88,"okay ",5,
