Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome ThatFunnyFox! ",22,
Moderator,2,2,"Thank you for participating in this study. ",43,
Moderator,18,16,"Are you able to read this? ",27,
ThatFunnyFox,21373,21355,"I am finally able! ",19,
Moderator,21905,532,"Good! ",6,
ThatFunnyFox,21930,25,"Better than good! ",18,
Moderator,21963,33,"Let&#039;s get right to it then! ",33,
Moderator,21969,6,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
ThatFunnyFox,21975,6,"Roger ",6,
Moderator,21994,19,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,22006,12,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,22016,10,"You&#039;ll be talking to him twice. ",37,
Moderator,22026,10,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,22033,7,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,22041,8,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,22051,10,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,22062,11,"You will not be talking twice with the same Actor. ",51,
Moderator,22078,16,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,22087,9,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,22094,7,"Whenever you have made your decision, you are able to stop the conversation by saying [STOP] ",93,
Moderator,22103,9,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,22113,10,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,22121,8,"Do not type more than one post per answer. ",43,
Moderator,22129,8,"Do you understand the rules and what you have to do? ",53,
ThatFunnyFox,22153,24,"So I&#039;m going to be having one conversation with an actor, and then after that a conversation with the other actor, yes? ",125,
Moderator,22169,16,"That is correct yes. ",21,
ThatFunnyFox,22189,20,"Does the second actor have any access to the answers/responses of the previous actor from the first conversation? ",114,
Moderator,22226,37,"No, but remember, they are trying to portray the same Andrew. ",62,
ThatFunnyFox,22269,43,"I see!   Then I&#039;ll enjoy trying to tell them apart!  I believe I am ready to begin ",88,
Moderator,22282,13,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
ThatFunnyFox,22302,20,"yes ",4,
Andrew,22308,6,"Hello! ",7,
ThatFunnyFox,22328,20,"Hello!  Tell me about yourself, Andrew ",39,1
Andrew,22398,70,"Well that&#039;s pretty direct! I&#039;m a student in Biology, and I live in Canada. Is there anything specific you&#039;d like to know? ",137,1
ThatFunnyFox,22502,104,"Well, considering the basis of this project, it&#039;d be interesting to hear how you came to be in this situation.  In other words, what brings a biology student from Canada, here? ",182,1
Andrew,22555,53,"I&#039;m actually just helping a friend with his project. ",58,1
ThatFunnyFox,22597,42,"That makes sense.  Did you meet your friend in school, or somewhere else? ",74,1
Andrew,22637,40,"We went to the same university for a bit yes. ",46,1
ThatFunnyFox,22679,42,"That implies you parted ways, at least for a bit. ",50,1
Andrew,22705,26," That&#039;s right yes. ",24,1
ThatFunnyFox,22731,26,"How did that come to pass? ",27,1
Andrew,22748,17,"What do you mean exactly? ",26,1
ThatFunnyFox,22778,30,"If you both went to the same university, what happened that lead to your parting ways? ",87,1
Andrew,22834,56,"He was an exchange student. I live here. ",41,1
