Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Hello Ritch ",12,
Moderator,7,7,"Thank you for participating in this study. ",43,
Ritch,62,55,"Hi! ",4,
Moderator,67,5,"Are you able to read this? ",27,
Ritch,95,28,"Yes i am ",9,
Moderator,100,5,"Good. In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",110,
Moderator,108,8,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Ritch,115,7,"Alright ",8,
Moderator,118,3,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,124,6,"You&#039;ll be talking to him twice. ",37,
Moderator,131,7,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,138,7,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,149,11,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,159,10,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,165,6,"You will not be talking twice with the same Actor. ",51,
Moderator,173,8,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,179,6,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,188,9,"Whenever you have made your decision, you are able to stop the conversation by saying [STOP] ",93,
Moderator,196,8,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,202,6,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,208,6,"Do not type more than one post per answer. ",43,
Moderator,219,11,"Do you understand the rules and what you have to do? ",53,
Ritch,229,10,"Yes i do ",9,
Moderator,235,6,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Ritch,248,13,"Yes i am ",9,
Andrew,253,5,"Hello! ",7,
Ritch,260,7,"Hi there! ",10,1
Andrew,269,9,"How are you doing? ",19,1
Ritch,281,12,"I&#039;m good you? ",19,1
Andrew,308,27,"I&#039;m doing quite alright! What&#039;s up? ",46,1
Ritch,334,26,"Well, i am watching videos on youtube you? ",43,1
Andrew,351,17,"I&#039;m watching a show on Netflix right now. ",47,1
Ritch,359,8,"What is it? ",12,1
Andrew,391,32,"Not sure actually. ",19,1
Ritch,404,13,"What is the name? ",18,1
Andrew,430,26,"Of what? ",9,1
Ritch,445,15,"Of the show you are watching ",29,1
Andrew,482,37,"Oh right. It&#039;s how I met your mother. It&#039;s kinda old, but I had never seen it before. ",96,1
Ritch,511,29,"Ah ok! Yes i saw it a little on tv ",35,1
Andrew,524,13,"What did you think of it? ",26,1
Ritch,559,35,"It was interesting, but its not really my kind of show ",55,1
Andrew,572,13,"What kind of show do you like? ",31,1
Ritch,628,56,"I mostly like medieval shows, such as Game of Thrones ",54,1
Andrew,649,21,"I love it too! The next season is coming soon too. ",51,1
Ritch,686,37,"I mostly like medieval shoes, such as Game of thrones ",54,1
Andrew,707,21,"It&#039;s one of my favorite shows actually. ",45,1
Ritch,739,32,"Nice! I enjoy very much japanese animations too ",48,1
Andrew,769,30,"I don&#039;t know many of those. I&#039;ve liked Death Note a lot though. ",74,1
Ritch,814,45,"Yes, it was very nice. I mostly watch shonen animes, such as naruto, one piece, death note, etc ",96,1
Andrew,877,63,"I&#039;ve tried to get into Naruto, but it&#039;s hard to get into with how short the episodes are. ",100,1
Ritch,918,41,"Yeah, 19 minutes is really not enough ",38,1
Andrew,942,24,"Yeah definitely. ",17,1
Ritch,962,20,"Otherwise, do you roleplay? ",28,1
Andrew,984,22,"I play some D&amp;D from time to time. ",39,1
Ritch,1001,17,"Cool! What class and race? ",27,1
Andrew,1026,25,"Human mage most of the time. ",29,1
