Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Hello Leonida Tavorth ",22,
Moderator,3,3,"Thank you for participating in this study. ",43,
Moderator,10,7,"Are you able to read this? ",27,
Leonidas Tavorth,38,28,"Yes ",4,
Moderator,43,5,"Good. In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",110,
Moderator,52,9,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,60,8,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,67,7,"You&#039;ll be talking to him twice. ",37,
Moderator,72,5,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,78,6,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,85,7,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,92,7,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,98,6,"You will not be talking twice with the same Actor. ",51,
Moderator,104,6,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,110,6,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,116,6,"Whenever you have made your decision, you are able to stop the conversation by saying [STOP] ",93,
Moderator,123,7,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,129,6,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,134,5,"Do not type more than one post per answer. ",43,
Moderator,140,6,"Do you understand the rules and what you have to do? ",53,
Leonidas Tavorth,287,147,"yes ",4,
Moderator,294,7,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Leonidas Tavorth,304,10,"yes ",4,
Andrew,311,7,"Hello! ",7,
Leonidas Tavorth,317,6,"Hello ",6,1
Andrew,326,9,"How are you doing? ",19,1
Leonidas Tavorth,332,6,"I&#039;m doing good. ",21,1
Andrew,347,15,"What are you up to? That&#039;s cool! ",38,1
Leonidas Tavorth,359,12,"Playing a game ",15,1
Andrew,369,10,"Which game is it? ",18,1
Leonidas Tavorth,395,26,"Friday the 13th game. ",22,1
Andrew,412,17,"What is it about? I don&#039;t think I&#039;ve ever heard about it. ",68,1
Leonidas Tavorth,484,72,"Its a game where you either kill camp counselors.  Or try  and escape from camp. ",81,1
Andrew,533,49,"Is it an independent game? Sounds like a funny concept. ",56,1
Leonidas Tavorth,555,22,"Its more of a game to play with friends. ",41,1
Andrew,573,18,"Are you playing online then? Oh nice! ",38,1
Leonidas Tavorth,599,26,"Oh yeah its an online game. Doesn&#039;t have an offline mode yet. ",67,1
Andrew,627,28,"I might have to check it out eventually then. I see. ",53,1
Leonidas Tavorth,683,56,"Yes, its pretty fun game. Just it tends to have a few problems. ",64,1
Andrew,699,16,"Like what? Oh? ",15,1
Leonidas Tavorth,740,41,"Oh the servers aren&#039;t stable at times. As well if the host leaves a game. It kicks everyone out. For it doesn&#039;t have a host migration to it. ",151,1
Andrew,807,67,"Sounds fun nonetheless. What other games do you play? I see. ",61,1
Leonidas Tavorth,859,52,"Oh I&#039;ve looking into Life is strange. ",43,1
Andrew,883,24,"What is that one about? ",24,1
Leonidas Tavorth,948,65,"Well its about a girl that can rewind time. As far I&#039;ve got is episode one.  But the looks of things a disaster  will strike soon.   ",138,1
Andrew,980,32,"Where do you find those games? That sounds pretty cool. ",56,1
Leonidas Tavorth,1055,75,"I&#039;ve found it on the psn store.  Life is strange is part of the ps plus membership for this month and friday the 13th you&#039;ve got to get digital for now. ",163,1
Andrew,1105,50,"I was hoping you could get them on Steam. Oh alright. ",54,1
Leonidas Tavorth,1125,20,"I think you can find them on steam. I haven&#039;t checked on there yet. ",73,1
Andrew,1165,40,"I play a lot of Minecraft myself. I&#039;ll make sure to check that out. ",73,1
Leonidas Tavorth,1222,57,"I used to play minecraft. But that got boring playing it alone. As well don&#039;t remember my pc account one. ",111,1
Moderator,1230,8,"Time is up! ",12,
Moderator,1246,16,"Which actor do you think you&#039;ve been talking to? ",54,
Leonidas Tavorth,1298,52,"human ",6,
Moderator,1310,12,"Alright. We&#039;ll begin the second conversation. Andrew will start again and then you&#039;ll have 15 minutes after your answer. Are you ready? ",146,
Leonidas Tavorth,2236,926,"yes ",4,
