Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Welcome Metla. ",15,
Moderator,29,29,"Thank you for participating in this study. ",43,
Moderator,39,10,"If you can see this, please say &quot;yes&quot;. ",49,
Metla,45,6,"Yes ",4,
Moderator,51,6,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,59,8,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,69,10,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,78,9,"You&#039;ll be talking to him twice. ",37,
Moderator,89,11,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,98,9,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,106,8,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,115,9,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,123,8,"You will not be talking twice with the same Actor. ",51,
Moderator,132,9,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,140,8,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,147,7,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,156,9,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,164,8,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,171,7,"Do not type more than one post per answer. ",43,
Moderator,181,10,"Do you understand the rules and what you have to do? ",53,
Metla,189,8,"Yes ",4,
Moderator,196,7,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Metla,207,11,"Yes ",4,
Andrew,211,4,"Hello! ",7,1
Metla,221,10,"Good day Andrew ",16,1
Andrew,234,13,"How are you doing? ",19,1
Metla,245,11,"I&#039;m fine thanks, what about you? ",38,1
Andrew,257,12,"I&#039;m doing alright. What&#039;s up? ",40,1
Metla,273,16,"The sky of course! ",19,1
Andrew,287,14,"What&#039;s down then? ",23,1
Metla,307,20,"The ground  I guess.",20,1
Andrew,333,26,"Fair enough. What are you up to? ",33,1
Metla,351,18,"I was about to play some Overwatch really. ",43,1
Andrew,366,15,"I&#039;ve never played that. ",29,1
