Author,TimeStamp,Delay,Message,Characters,Conversation
Puppers,0,0,"hello ",6,
Puppers,8,8,"? ",2,
Moderator,17,9,"Welcome Puppers. ",17,
Puppers,27,10,"hello ",6,
Moderator,35,8,"Thank you for participating in this study. ",43,
Moderator,46,11,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,51,5,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,59,8,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,67,8,"You&#039;ll be talking to him twice. ",37,
Moderator,73,6,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,82,9,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,90,8,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,97,7,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,104,7,"You will not be talking twice with the same Actor. ",51,
Moderator,113,9,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,121,8,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,130,9,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,138,8,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,146,8,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,163,17,"Do not type more than one post at a time. ",42,
Moderator,175,12,"Do you understand the rules and what you have to do? ",53,
Puppers,179,4,"Yes ",4,
Moderator,190,11,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Puppers,196,6,"Ready! ",7,
Andrew,221,25,"Hello! ",7,
Puppers,225,4,"Hello! ",7,1
Andrew,234,9,"How are you doing? ",19,1
Puppers,240,6,"I&#039;m ok, how are you? ",26,1
Andrew,253,13,"I&#039;m doing alright thanks. What are you up to? ",51,1
Puppers,270,17,"I&#039;m doing this test. I was playing video games. You? ",58,1
Andrew,294,24,"Chatting. Which video games? ",29,1
Puppers,319,25,"MWO. Big stompy robots shooting big guns  ",42,1
Puppers,325,6,"What did you do today? ",23,1
Moderator,339,14,"Please avoid double posts. ",27,1
Puppers,344,5,"Sorry! ",7,1
Andrew,362,18,"I mostly spent my time on homework. Took a break to play minecraft earlier. ",76,1
