Author,TimeStamp,Delay,Message,Characters,Conversation
Jacob,0,0,"Hello ",6,
Moderator,8,8,"Hello Jacob. ",13,
Jacob,14,6,"Hello there! ",13,
Jacob,61,47,"How are you? ",13,
Andrew,107,46,"[We&#039;re having technical issues. Please wait a moment] ",59,
Moderator,248,141,"Thank you for participating in this study. ",43,
Jacob,256,8,"No problem. ",12,
Jacob,260,4,"Happy to help. ",15,
Moderator,266,6,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,277,11,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Jacob,284,7,"Oh okay. ",9,
Moderator,290,6,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,302,12,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,315,13,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,327,12,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,338,11,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Jacob,340,2,"Gotcha. ",8,
Moderator,348,8,"You will not be talking twice with the same Actor. ",51,
Moderator,358,10,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,369,11,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,379,10,"Whenever you have made your decision, you are able to stop the conversation. ",77,
Moderator,389,10,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,399,10,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,408,9,"Do not type more than one post per answer. ",43,
Moderator,417,9,"Do you understand the rules and what you have to do? ",53,
Jacob,429,12,"Yes I do! ",10,
Moderator,442,13,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. ",87,
Andrew,449,7,"Hello! ",7,
Jacob,464,15,"Hello there! ",13,1
Andrew,471,7,"How are you doing? ",19,1
Jacob,484,13,"I&#039;m doing fantastic, how about yourself? ",46,1
Andrew,497,13,"I&#039;m doing alright. What are you up to? ",44,1
Jacob,535,38,"Well I literally just woke up. Popped online and saw this test thing....And I thought I&#039;d be fun. How about you? You up to anything special? ",146,1
Andrew,566,31,"Not much honestly. I&#039;m probably just going to get to my room soon and play some video games. ",98,1
Jacob,579,13,"Oh? Cool! What games do you play? ",34,1
Andrew,605,26,"Mostly Minecraft. Also played Mass Effect recently. ",52,1
Jacob,620,15,"Have you played the newest one yet? ",36,1
Andrew,638,18,"Andromeda? Yes I have actually. ",32,1
Jacob,649,11,"Oh? Who&#039;s your favorite character? ",40,1
Andrew,689,40,"I quite like Peebee, but I don&#039;t know if she&#039;s my favorite character. Who&#039;s yours? ",98,1
Jacob,726,37,"Well I haven&#039;t actually played the game. But my favorite from the old series is Garrus. Has to be probably my favorite human of all time. ",143,1
Andrew,773,47,"Garrus isn&#039;t human though. And yeah, he&#039;s also my favorite character of the first trilogy. Mordin was awesome too. ",125,1
Jacob,813,40,"Haha. Yeah that was a huge typo. Oh! Guess what&#039;s coming out today?! I&#039;ve been waiting for this game for a while! ",124,1
Andrew,855,42,"I have no idea actually. What is it? ",37,1
Jacob,868,13,"Yookah-Laylee!!! ",17,1
Andrew,882,14,"I&#039;ve never heard of this. ",31,1
Jacob,928,46,"It&#039;s a successor to the hit game Banjo-Kazooie! I work at a game store so I have to open today but when I get home I&#039;ll get to play it!!! <img src='smiles/bigsmile.png'/> ",181,1
Moderator,943,15,"[Please avoid smileys] ",23,1
Jacob,956,13,"(That was my bad sorry I got really excited) ",45,1
Andrew,979,23,"Oh alright. Sounds like you&#039;re going to be having a lot of fun then. i played that game a long time ago, I barely remember it. ",132,1
Jacob,1009,30,"Yeah. It&#039;s a really old game. So Andrew? How old are you? ",63,1
Andrew,1029,20,"I&#039;m 21. How old are you? ",30,1
Jacob,1084,55,"Hey cool! I&#039;m 21 as well! Nice to know we&#039;re the same age. So do you have any other plans today? ",107,1
Andrew,1130,46,"I don&#039;t think so no. Alone at home so I&#039;ll be cooking and that&#039;s about it. ",90,1
Jacob,1141,11,"Oh cool! What are you going to make? ",37,1
Andrew,1172,31,"Sausages. Got some ready that I just need to re-heat. ",54,1
Jacob,1184,12,"Nice! What kinda sausages? ",27,1
Andrew,1221,37,"That&#039;s a good question. I&#039;m not too sure, but they are rather big. ",77,1
Jacob,1259,38,"Nice! I&#039;m probably gonna have some cereal, blegh. Never have time to make anything fancy for breakfast. ",109,1
Andrew,1296,37,"Cereal is not bad though! I don&#039;t eat enough of those. ",60,1
Jacob,1328,32,"Yeah? I&#039;m more of a fan of the choco-ball cereal.  ",56,1
Andrew,1365,37,"Chocolate is always awesome! ",29,1
Moderator,1372,7,"Time is up! ",12,
Jacob,1386,14,"Alright! ",9,
Moderator,1392,6,"Which actor do you think you&#039;ve been talking to (This is not your final answer) ",85,
Jacob,1414,22,"...I&#039;m thinking I was talking to the computer but I&#039;ll have to wait and see. ",87,
Moderator,1447,33,"Alright. We&#039;ll start the next conversation. Andrew will begin, then you&#039;ll have 15 minutes after your first answer; ",126,
Andrew,1453,6,"Hello! ",7,
Jacob,1465,12,"Hello! ",7,2
Andrew,1472,7,"How are you doing? ",19,2
