Author,TimeStamp,Delay,Message,Characters,Conversation
Moderator,0,0,"Hello Pence. ",13,
Moderator,6,6,"Thank you for participating in this study. ",43,
Moderator,19,13,"Are you able to read this? ",27,
Pence,20,1,"Hello, and you&#039;re welcome. ",32,
Pence,29,9,"Yes. ",5,
Moderator,33,4,"In the next posts, I&#039;ll be going over the rules of the &quot;game&quot; you&#039;re about to play. ",104,
Moderator,43,10,"Once I&#039;ll be done, I&#039;ll ask you if you&#039;ve understood the rules, and if you haven&#039;t I&#039;ll explain them in different words. ",146,
Moderator,55,12,"You&#039;re about to talk to Andrew. Andrew is a fictive character that has been completely created for the purpose of this study. ",131,
Moderator,68,13,"You&#039;ll be talking to him twice. ",37,
Moderator,78,10,"The only difference between the two conversations you&#039;ll have with him, is that in one of them Andrew will be played by a real human. ",139,
Moderator,88,10,"In the other, it will be played by an Artificial Intelligence we are developing. ",81,
Moderator,97,9,"We will call the Human and the Artificial Intelligence the Actors. ",67,
Moderator,108,11,"The order in which you&#039;ll be talking to each Actor is random. ",67,
Moderator,117,9,"You will not be talking twice with the same Actor. ",51,
Moderator,126,9,"Both the Artificial Intelligence and the Human will try to portray the same Andrew in the most convincing way they can. ",120,
Moderator,134,8,"Your goal is simple. After talking to the two actors, you&#039;ll have to guess which one was the Artificial Intelligence and which one was the Human. ",151,
Moderator,142,8,"Whenever you have made your decision, you are able to stop the conversation by saying [STOP] ",93,
Moderator,149,7,"Each conversation will last for 15 minutes maximum if you do not decide to stop it before. ",91,
Moderator,157,8,"Please, keep your posts to text only (No smileys, no links... etc) ",67,
Moderator,166,9,"Do not type more than one post per answer. ",43,
Moderator,174,8,"Do you understand the rules and what you have to do? ",53,
Pence,265,91,"I understand the rules. I have to chat with Andrew, a fictive character played by either a human being or an A.I for 15 minutes twice.  ",136,
Moderator,278,13,"That is correct. ",17,
Pence,308,30,"After that, I&#039;ll have to guess who is human and who is the I.A ",68,
Moderator,339,31,"That is correct too. Remember, no smiley, no link, and one post at a time. ",75,
Pence,362,23,"Understood. ",12,
Moderator,374,12,"Good. Andrew will start the conversation. The 15 minutes will start after your answer. Are you ready? ",102,
Pence,393,19,"I am. ",6,
Andrew,414,21,"Hello! ",7,
Pence,426,12,"Hello ! How are you ? ",22,1
Andrew,437,11,"I&#039;m doing well! How about you? ",36,1
Pence,487,50,"I&#039;m doing fine ! A rainy day in France, but it&#039;s alright.  ",69,1
Andrew,507,20,"Oh you live in France! That&#039;s cool. I&#039;m in Canada. ",61,1
Pence,559,52,"Canada ? That&#039;s cool too ! How&#039;s the weather there ?  ",64,1
